x1, y1, c1, x2, y2, c2
209, 1146, 0, 206, 1540, 0
209.0072, 1145.9943, 2.6123946, 205.97845, 1540.0211, 3.3176091
209.01035, 1146.0123, 2.6802874, 205.98315, 1540.0172, 3.2710471
208.98474, 1146.0442, 2.7051454, 205.97743, 1540.0292, 3.4785159
209.00693, 1146.0281, 2.9000866, 205.98801, 1540.0272, 3.4645517
209.02147, 1146.037, 2.7317119, 205.99217, 1540.04, 3.2954948
209.00533, 1146.0244, 2.7057593, 205.97899, 1540.0106, 3.4014535
209.00031, 1146.0277, 2.7400627, 206.00204, 1540.0406, 3.4955037
208.8835, 1143.2684, 2.9022491, 205.78844, 1537.2705, 4.8334064
208.64835, 1139.9607, 2.772027, 205.24777, 1533.9801, 4.4030423
207.57889, 1137.2135, 3.0275137, 204.72769, 1531.2493, 5.4521627
208.54123, 1134.676, 3.3440459, 207.50427, 1528.7556, 5.9506598
212.76837, 1132.1384, 5.0590143, 214.21584, 1526.1937, 9.675086
221.62312, 1129.3368, 3.4443352, 214.67462, 1529.457, 40.403671
226.04803, 1126.3652, 3.4278889, 215.64758, 1528.6611, 40.979107
229.14336, 1123.3683, 3.4428523, 215.70766, 1528.4641, 38.533253
231.01524, 1120.3666, 3.3261249, 216.03079, 1526.014, 37.648304
232.24263, 1117.257, 3.5030603, 216.27347, 1525.1512, 39.005703
233.76045, 1114.2393, 3.4136732, 215.13669, 1524.1234, 34.35857
234.23758, 1111.0927, 3.4621787, 216.32736, 1523.6185, 25.85346
235.61058, 1108.1903, 3.3887239, 216.43997, 1523.0886, 31.633738
238.54639, 1105.1262, 3.3684306, 217.45525, 1523.3271, 19.873953
239.56839, 1102.0613, 3.4280598, 217.52101, 1524.0369, 22.019342
240.10924, 1098.9928, 3.4200165, 214.94026, 1523.0609, 20.518311
240.51535, 1095.8809, 3.3443851, 215.15468, 1523.2031, 23.585323
243.25859, 1093.0573, 3.5051782, 215.27226, 1522.6426, 20.099379
244.90509, 1090.9185, 3.8211849, 217.5562, 1521.1575, 19.970154
244.89696, 1090.7853, 3.8874063, 217.70145, 1520.7213, 19.82028
